Gold Standard:

Title														Category
____________________________________________________________________
Game of Thrones                                             action   
Sully                                                       drama   
Star Trek Beyond                                            action         
Ghostbusters                                                comedy   
Jason Bourne                                                action         
The Magnificent Seven                                       action         
Free State of Jones                                         drama    
Money Monster                                               drama           
Hell or High Water                                          drama   
The Legend of Tarzan                                        action         
The Accountant                                              action         
Deepwater Horizon                                           drama    
Hacksaw Ridge                                               drama    
Central Intelligence                                        comedy   
X-Men: Apocalypse                                           action    
Independence Day: Resurgence                                action          
Manchester by the Sea                                       drama    
Suicide Squad                                               action         
The Jungle Book (2016)                                      family   
Bad Moms                                                    comedy   
Now You See Me 2                                            action        
Captain America: Civil War                                  action   
Homeland                                                    drama          
The Nice Guys                                               comedy  
The Infiltrator                                             drama     
Inferno                                                     action   
The Secret Life of Pets                                     family   
The Girl on the Train                                       drama     
Me Before You                                               drama           
Outlander                                                   drama    
Florence Foster Jenkins                                     drama  
Mechanic: Resurrection                                      action   
The Huntsman: Winters War                                   drama            
The Shallows                                                horror 
War Dogs                                                    drama        
Finding Dory                                                family    
A Hologram for the King                                     drama    
Miss Peregrines Home for Peculiar Children                  family
Blood Father                                                action  
Neighbors 2: Sorority Rising                                comedy    
Whiskey Tango Foxtrot                                       comedy   
Batman v Superman: Dawn of Justice                          action         
Eye in the Sky                                              drama     
The Man Who Knew Infinity                                   drama   
The Boss                                                    comedy  
Passengers                                                  drama         
Dont Breathe                                                horror  
Sausage Party                                               comedy   
Jack Reacher: Never Go Back                                 action         
Warcraft                                                    action   
Mothers Day                                                 comedy          
The BFG                                                     family         
Ben-Hur                                                     action          
Captain Fantastic                                           comedy
Snowden                                                     drama            
The Duel                                                    drama   
Criminal                                                    action   
The Meddler                                                 comedy  
Joy                                                         drama     
Moonlight                                                   drama            
Arrival                                                     drama           
Petes Dragon                                                family         
The Finest Hours                                            action  
11/22/63                                                    drama    
Wild Oats                                                   comedy    
Café Society                                                comedy         
Hello, My Name Is Doris                                     comedy  
Mike and Dave Need Wedding Dates                            comedy          
Miracles from Heaven                                        drama    
The Revenant                                                drama     
13 Hours: The Secret Soldiers of Benghazi                   action          
Bridge of Spies                                             drama            
Race                                                        drama           
The Conjuring 2                                             horror  
Hunt for the Wilderpeople                                   family         
My Big Fat Greek Wedding 2                                  comedy        
Bridget Joness Baby                                         comedy   
The Divergent Series: Allegiant                             action  
10 Cloverfield Lane                                         drama  
London Has Fallen                                           action        
Alice Through the Looking Glass                             family   
Genius                                                      drama   
The Night Manager                                           drama         
House of Cards                                              drama    
I Am Wrath                                                  action   
Teenage Mutant Ninja Turtles: Out of the Shadows            action          
Kubo and the Two Strings                                    family          
Love & Friendship                                           comedy        
Our Kind of Traitor                                         drama         
The Purge: Election Year                                    action
The Hateful Eight                                           drama            
Deadpool                                                    action       
Storks                                                      family    
Concussion                                                  drama       
Ice Age: Collision Course                                   family  
Nerve                                                       drama    
Brooklyn                                                    drama     
Dark Horse                                                  drama   
Keeping Up with the Joneses                                 comedy   
The Intern   												comedy
